id,class_id,confidence,detection_date,detection_hour,detection_minute,detection_second,detection_microsecond,duration,location,status,timestamp_date,timestamp_hour,timestamp_minute,timestamp_second,timestamp_microsecond
-OJZIiwtVnmI0XVmEQGp,0,0.7167471051216125,2025-02-20,12,1,48,931401,0.016668,Área de monitoreo 1,pending,2025-02-20,12,1,48,931413
-OJZIvURdTaodRhlX7I2,0,0.7003841400146484,2025-02-20,12,2,40,314318,0.029412,Área de monitoreo 1,pending,2025-02-20,12,2,40,314339
-OJZJ6mGhC-vXo_7t2BO,0,0.7700935006141663,2025-02-20,12,3,30,655462,0.037667,Área de monitoreo 1,pending,2025-02-20,12,3,30,655483
-OJZJJ3uQ5o9wuBueZTT,0,0.7216938734054565,2025-02-20,12,4,21,976,0.016397,Área de monitoreo 1,pending,2025-02-20,12,4,21,987
-OJZJXK1iacspoJiRwxh,0,0.7064366936683655,2025-02-20,12,5,19,386882,0.027544,Área de monitoreo 1,pending,2025-02-20,12,5,19,386894
-OJZJibF-4aYT9um2HDw,0,0.8114269375801086,2025-02-20,12,6,9,703181,0.028325,Área de monitoreo 1,pending,2025-02-20,12,6,9,703193
-OJZJuxmIHVf3YZDXti-,0,0.7695592045783997,2025-02-20,12,7,0,292590,0.033771,Área de monitoreo 1,pending,2025-02-20,12,7,0,292603
-OJZK6He--qxI48DMsc4,0,0.7107197046279907,2025-02-20,12,7,50,788398,0.037903,Área de monitoreo 1,pending,2025-02-20,12,7,50,788411
-OJZKIhoGDdocsiiaMNs,0,0.7371441721916199,2025-02-20,12,8,41,669488,0.020058,Área de monitoreo 1,pending,2025-02-20,12,8,41,669499
-OJZKVAt4jC1vtXsH0fO,0,0.7447033524513245,2025-02-20,12,9,32,753210,0.022629,Área de monitoreo 1,pending,2025-02-20,12,9,32,753222
-OJZKgmPaMnqTHp-vkXP,0,0.7011973857879639,2025-02-20,12,10,24,354327,0.10045,Área de monitoreo 1,pending,2025-02-20,12,10,24,354382
-OJZKtHTVfDuczil_VaY,0,0.7284209132194519,2025-02-20,12,11,15,571904,0.04704,Área de monitoreo 1,pending,2025-02-20,12,11,15,571921
-OJZL4dDV3h3DDrdju9N,0,0.7045159935951233,2025-02-20,12,12,6,174189,0.021181,Área de monitoreo 1,pending,2025-02-20,12,12,6,174203
-OJZLHH4RScRAJCdOcsJ,0,0.7530792951583862,2025-02-20,12,12,57,955208,0.033321,Área de monitoreo 1,pending,2025-02-20,12,12,57,955227
-OJZLUFHxQRduTacHAEd,0,0.7025583982467651,2025-02-20,12,13,51,81136,0.039936,Área de monitoreo 1,pending,2025-02-20,12,13,51,81155
-OJZLmDsucoV1fxvUOk_,0,0.7220669984817505,2025-02-20,12,15,8,505893,0.025836,Área de monitoreo 1,pending,2025-02-20,12,15,8,505911
-OJZLyWoCVngStklJ_8k,0,0.8170393109321594,2025-02-20,12,15,59,171470,0.026859,Área de monitoreo 1,pending,2025-02-20,12,15,59,171493
-OJZMHDlLQdTMS2M4R7k,0,0.7394983768463135,2025-02-20,12,17,19,673294,0.023901,Área de monitoreo 1,pending,2025-02-20,12,17,19,673316
-OJZMYDXRjb2pDpB8wx_,0,0.7158223390579224,2025-02-20,12,18,29,502372,0.047774,Área de monitoreo 1,pending,2025-02-20,12,18,29,502405
-OJZMlAcgabpyz5ruBKG,0,0.7356078028678894,2025-02-20,12,19,26,654624,0.019153,Área de monitoreo 1,pending,2025-02-20,12,19,26,654636
-OJZMxh5Skhh7nlJaNZm,0,0.7524585723876953,2025-02-20,12,20,17,955745,0.01805,Área de monitoreo 1,pending,2025-02-20,12,20,17,955766
-OJZNBDQ9QYpSBTwxC1F,0,0.7013969421386719,2025-02-20,12,21,16,987248,0.025266,Área de monitoreo 1,pending,2025-02-20,12,21,16,987260
